record_date,power_consumption
20161001,3851256
20161002,3650956
20161003,3938318
20161004,3977974
20161005,3992582
20161006,3991820
20161007,3922503
20161008,3820553
20161009,3619774
20161010,3912771
20161011,3956789
20161012,3960023
20161013,3965719
20161014,3908779
20161015,3788001
20161016,3594251
20161017,3883956
20161018,3931302
20161019,3954380
20161020,3934099
20161021,3886090
20161022,3785574
20161023,3618310
20161024,3893268
20161025,3964239
20161026,3980085
20161027,3965933
20161028,3924369
20161029,3806647
20161030,3640555
20161031,3916185
