record_date,power_consumption
20160901,3298410
20160902,4077161
20160903,4247829
20160904,4684677
20160905,4136754
20160906,3805544
20160907,2994017
20160908,2751813
20160909,3329824
20160910,3549563
20160911,3106970
20160912,2658081
20160913,2529327
20160914,1992340
20160915,2536180
20160916,3246712
20160917,3497358
20160918,3763526
20160919,3212211
20160920,3579696
20160921,3160633
20160922,3465406
20160923,3694004
20160924,4381349
20160925,4656000
20160926,4340299
20160927,4196353
20160928,3784643
20160929,3727303
20160930,4347797
