record_date,power_consumption
20160901,3564839
20160902,3520628
20160903,3306973
20160904,3092091
20160905,3367497
20160906,3436200
20160907,3414503
20160908,3406552
20160909,3318728
20160910,3130747
20160911,3013768
20160912,3343393
20160913,3491004
20160914,3520770
20160915,3525308
20160916,3523918
20160917,3364481
20160918,3288617
20160919,3655044
20160920,3851173
20160921,3892689
20160922,3941272
20160923,3974931
20160924,3833293
20160925,3685795
20160926,3980888
20160927,4065510
20160928,4039779
20160929,4001548
20160930,3979086
