record_date,power_consumption
20160901,3300707
20160902,3340702
20160903,3404646
20160904,3267959
20160905,3736375
20160906,3695266
20160907,3488890
20160908,3271314
20160909,3063250
20160910,2765429
20160911,2677727
20160912,3196312
20160913,3274083
20160914,3792507
20160915,3542719
20160916,3560883
20160917,3208052
20160918,2958929
20160919,3390802
20160920,3604913
20160921,3792559
20160922,3784009
20160923,3050407
20160924,2360024
20160925,2510097
20160926,2343456
20160927,2500675
20160928,2924932
20160929,2666591
20160930,3011573
