record_date,power_consumption
20160901,3785336
20160902,3713120
20160903,3560812
20160904,3465161
20160905,3476657
20160906,3591775
20160907,3726882
20160908,3781875
20160909,3714048
20160910,3577847
20160911,3474271
20160912,3483943
20160913,3598513
20160914,3734983
20160915,3789837
20160916,3724920
20160917,3587886
20160918,3484539
20160919,3491339
20160920,3606108
20160921,3741641
20160922,3799180
20160923,3734521
20160924,3599140
20160925,3493598
20160926,3499994
20160927,3612474
20160928,3749517
20160929,3807276
20160930,3745326
