record_date,power_consumption
20160901,3967211
20160902,3933093
20160903,3636572
20160904,3348802
20160905,3563946
20160906,3603423
20160907,3503651
20160908,3433735
20160909,3282102
20160910,3011334
20160911,2919861
20160912,3265836
20160913,3469428
20160914,3460874
20160915,3400871
20160916,3421409
20160917,3198815
20160918,3188387
20160919,3611799
20160920,3911061
20160921,3958816
20160922,4017031
20160923,4131980
20160924,3974513
20160925,3872018
20160926,4175798
20160927,4291819
20160928,4234594
20160929,4148224
20160930,4170737
