record_date,power_consumption
20160901,4064168
20160902,4040413
20160903,3939734
20160904,3716107
20160905,3989762
20160906,4025562
20160907,4046377
20160908,4093827
20160909,4056414
20160910,3951589
20160911,3724978
20160912,3997309
20160913,4041466
20160914,4054384
20160915,4098502
20160916,4063416
20160917,3956416
20160918,3738435
20160919,4009049
20160920,4049912
20160921,4076117
20160922,4135572
20160923,4132805
20160924,4046321
20160925,3835044
20160926,4118181
20160927,4159873
20160928,4191447
20160929,4249969
20160930,4205662
