record_date,power_consumption
20160901,3162468
20160902,3108163
20160903,2977375
20160904,2835380
20160905,3171049
20160906,3268977
20160907,3325355
20160908,3379369
20160909,3355354
20160910,3250160
20160911,3107675
20160912,3420950
20160913,3512581
20160914,3580667
20160915,3649746
20160916,3626428
20160917,3530148
20160918,3388848
20160919,3698289
20160920,3791286
20160921,3826563
20160922,3865513
20160923,3817883
20160924,3692074
20160925,3499573
20160926,3785978
20160927,3839202
20160928,3844965
20160929,3854872
20160930,3787436
