record_date,power_consumption
20160901,3887547
20160902,3833407
20160903,3664589
20160904,3564235
20160905,3855895
20160906,3936661
20160907,3922462
20160908,3836522
20160909,3748671
20160910,3731392
20160911,3488949
20160912,3751948
20160913,3825755
20160914,3833285
20160915,3921914
20160916,3844843
20160917,3729888
20160918,3473847
20160919,3797238
20160920,3832667
20160921,3847114
20160922,3794805
20160923,3790033
20160924,3693608
20160925,3569753
20160926,3820459
20160927,3873835
20160928,3921982
20160929,3997932
20160930,3937115
