record_date,power_consumption
20161001,3574316
20161002,3856998
20161003,3902048
20161004,3926470
20161005,3925995
20161006,3875957
20161007,3768736
20161008,3601749
20161009,3881159
20161010,3930494
20161011,3930225
20161012,3941633
20161013,3889978
20161014,3780248
20161015,3614277
20161016,3888324
20161017,3940618
20161018,3948423
20161019,3941277
20161020,3912410
20161021,3801926
20161022,3631289
20161023,3918844
20161024,3955607
20161025,3979846
20161026,3981117
20161027,3931211
20161028,3824441
20161029,3645676
20161030,3933930
20161031,3984270
