record_date,t_max,t_min,weather_type,wind_direction,wind_level
2015-01-01,8,-4,晴,西南风,小于3级
2015-01-02,13,0,多云转晴,东南风,小于3级
2015-01-03,16,3,多云,南风,小于3级
2015-01-04,15,4,晴转阴,东风,3-4级
2015-01-05,10,2,小雨转雨夹雪,西北风,4-5级转3-4级
2015-01-06,7,-1,阴转多云,北风,小于3级
2015-01-07,7,-2,晴,西北风,小于3级
2015-01-08,12,-1,晴,北风,小于3级
2015-01-09,14,1,晴转多云,西南风,小于3级
2015-01-10,14,1,晴,西南风,小于3级
2015-01-11,10,1,多云,东北风,小于3级
2015-01-12,8,3,阴,东风,小于3级
2015-01-13,8,4,小到中雨转多云,东北风,小于3级
2015-01-14,10,4,阴转多云,西北风,小于3级
2015-01-15,11,3,多云,西南风,小于3级
2015-01-16,7,-1,多云转晴,西北风,3-4级
2015-01-17,9,-1,多云,东风,小于3级
2015-01-18,11,0,多云,西风,小于3级
2015-01-19,10,2,多云转阴,东风,小于3级
2015-01-20,11,4,多云,东南风,小于3级转3-4级
2015-01-21,7,0,多云,西北风,小于3级
2015-01-22,11,-2,晴,东北风,小于3级
2015-01-23,15,2,多云转阴,东南风,小于3级
2015-01-24,11,7,阴转小雨,东风,3-4级
2015-01-25,10,6,阴,西北风,小于3级转3-4级
2015-01-26,6,2,阴,东北风,4-5级
2015-01-27,3,0,小雪,东北风,4-5级转小于3级
2015-01-28,2,-1,大雪,东北风,3-4级
2015-01-29,3,-1,小雪转阴,西北风,小于3级
2015-01-30,4,-2,多云,北风,小于3级
2015-01-31,5,-1,阴转雨夹雪,东北风,小于3级
2015-02-01,7,1,阴,东风,小于3级
2015-02-02,7,2,阴转多云,东风,小于3级
2015-02-03,7,2,阴转多云,西北风,3-4级
2015-02-04,7,-2,多云转晴,西北风,3-4级
2015-02-05,9,-2,晴转多云,西南风,小于3级
2015-02-06,12,-1,多云,南风,小于3级转3-4级
2015-02-07,6,0,多云转晴,西北风,4-5级
2015-02-08,6,-4,晴,东北风,小于3级
2015-02-09,15,0,晴,西南风,3-4级
2015-02-10,15,0,晴,西南风,3-4级
2015-02-11,15,0,晴,西南风,3-4级
2015-02-12,15,0,晴,西南风,3-4级
2015-02-13,19,3,晴转多云,东南风,小于3级
2015-02-14,15,10,阵雨,东南风,小于3级
2015-02-15,15,9,阴转多云,西北风,3-4级
2015-02-16,14,3,多云转晴,西南风,小于3级
2015-02-17,12,3,晴,东风,4-5级
2015-02-18,11,1,多云,东北风,小于3级
2015-02-19,10,4,阴转小到中雨,东风,3-4级转小于3级
2015-02-20,11,8,小雨转阴,西风,3-4级
2015-02-21,11,3,阴转多云,西北风,3-4级
2015-02-22,10,4,小雨转阴,东风,小于3级
2015-02-23,12,4,阴,东风,小于3级
2015-02-24,10,6,小到中雨转小雨,东南风,3-4级
2015-02-25,10,6,阴,暂无实况,小于3级转3-4级
2015-02-26,6,3,阴转小到中雨,东风,小于3级
2015-02-27,4,2,中雨,东北风,4-5级
2015-02-28,9,1,阴转多云,西北风,3-4级
2015-03-01,13,2,晴转多云,南风,3-4级
2015-03-02,12,6,小雨转多云,东南风,3-4级转4-5级
2015-03-03,6,1,多云,东北风,4-5级转3-4级
2015-03-04,5,1,阴转雨夹雪,东风,小于3级
2015-03-05,8,2,雨夹雪转阴,东北风,小于3级
2015-03-06,12,3,多云,东南风,小于3级
2015-03-07,10,5,阴转小雨,东风,3-4级
2015-03-08,9,4,阴转多云,北风,小于3级转4-5级
2015-03-09,7,0,多云,东北风,4-5级转3-4级
2015-03-10,11,-1,多云,东南风,小于3级
2015-03-11,16,2,晴,南风,小于3级
2015-03-12,19,6,晴转多云,南风,3-4级转小于3级
2015-03-13,15,7,多云转小雨,东北风,3-4级
2015-03-14,16,8,阴,东风,3-4级
2015-03-15,17,10,阴转多云,东风,小于3级
2015-03-16,16,11,阴转中雨,东南风,小于3级
2015-03-17,14,12,大雨转小到中雨,东风,3-4级
2015-03-18,15,9,小雨转阴,北风,3-4级
2015-03-19,14,9,小雨,暂无实况,3-4级
2015-03-20,20,9,阴转多云,西风,小于3级
2015-03-21,19,8,多云,西南风,小于3级
2015-03-22,16,7,多云转阴,东风,4-5级转3-4级
2015-03-23,15,6,多云,东风,小于3级
2015-03-24,17,7,多云,东风,3-4级
2015-03-25,15,6,多云转阴,东风,3-4级
2015-03-26,16,9,小雨转多云,东风,3-4级
2015-03-27,20,7,多云转晴,东南风,3-4级转小于3级
2015-03-28,23,10,多云,南风,小于3级
2015-03-29,20,14,阴转阵雨,东风,3-4级
2015-03-30,26,16,多云,东南风,3-4级
2015-03-31,23,17,多云转阴,东风,3-4级
2015-04-01,25,14,阴转中雨,东风,5-6级转4-5级
2015-04-02,19,11,阴,西北风,3-4级转4-5级
2015-04-03,14,10,雷阵雨,东风,3-4级转小于3级
2015-04-04,13,10,小雨转小到中雨,西北风,小于3级
2015-04-05,11,7,中雨,北风,4-5级转3-4级
2015-04-06,7,4,小雨,东北风,4-5级转3-4级
2015-04-07,12,2,阴转多云,西风,小于3级
2015-04-08,15,3,多云,东风,3-4级
2015-04-09,17,6,晴转多云,东风,小于3级
2015-04-10,19,7,多云,北风,3-4级
2015-04-11,21,9,多云转雷阵雨,东风,3-4级
2015-04-12,13,7,多云转雷阵雨,西北风,5-6级
2015-04-13,19,6,阴转晴,西风,5-6级转3-4级
2015-04-14,23,10,晴,西南风,4-5级
2015-04-15,21,13,阴转多云,西南风,3-4级
2015-04-16,22,10,晴转多云,东南风,4-5级
2015-04-17,26,15,阴,东南风,4-5级转3-4级
2015-04-18,24,16,阴转雷阵雨,北风,3-4级
2015-04-19,17,10,中雨转阵雨,北风,4-5级转3-4级
2015-04-20,20,8,多云,暂无实况,小于3级
2015-04-21,24,8,多云转晴,南风,小于3级
2015-04-22,26,12,多云,东南风,3-4级
2015-04-23,27,13,多云,东南风,小于3级
2015-04-24,27,13,多云转晴,西南风,小于3级
2015-04-25,28,14,晴,暂无实况,小于3级
2015-04-26,28,15,晴转多云,东南风,4-5级
2015-04-27,29,18,阴转雷阵雨,南风,小于3级
2015-04-28,22,17,雷阵雨转多云,暂无实况,3-4级
2015-04-29,25,14,多云,西风,小于3级
2015-04-30,27,14,晴转多云,东风,小于3级
2015-05-01,20,16,小到中雨转中到大雨,东风,小于3级
2015-05-02,25,15,阴转多云,西北风,3-4级
2015-05-03,24,15,多云,暂无实况,小于3级
2015-05-04,24,12,阴转多云,东南风,3-4级转小于3级
2015-05-05,23,15,阴,东南风,3-4级
2015-05-06,27,16,多云,东南风,小于3级
2015-05-07,27,17,多云,北风,3-4级
2015-05-08,26,15,多云,西南风,3-4级
2015-05-09,26,15,多云,西南风,3-4级
2015-05-10,26,15,多云,西南风,3-4级
2015-05-11,26,15,多云,西南风,3-4级
2015-05-12,26,15,多云,西南风,3-4级
2015-05-13,29,20,晴~多云,东南风,3-4级
